pvals	est	stat	host	taxa	qval
0.0181218587944004	-0.599704383799293	895.834454927604	cd8	Ligilactobacillus	0.43963818575299
0.0257327149331512	0.572463535274316	239.420420246383	cd8	Monoglobus	0.46788571825482
0.0142945537915557	0.616911031494186	214.529822363256	cd4	Lachnospiraceae.ND3007.group	0.43963818575299
0.0211567658683153	0.587953184478567	230.746216692002	cd4	Ruminococcus	0.43963818575299
0.0207017142562867	-0.589629202001945	890.192353121089	cd4	Ligilactobacillus	0.43963818575299
0.00501489509578033	0.68293943277325	177.55391764698	cd4	Monoglobus	0.43963818575299
0.0458739553959389	0.47594905347879	507.805367179052	viremia	Megasphaera	0.574067504452577
0.00849406734944698	0.599894653725189	387.702080540292	viremia	Lachnospiraceae.ND3007.group	0.43963818575299
0.0389983560767242	0.489989462592202	494.200210748156	viremia	Prevotella_9	0.574067504452577
0.046770594485697	0.474238693321254	509.462706171705	viremia	Ruminococcus	0.574067504452577
0.0191028331140855	0.545885354660363	440.037091334108	viremia	Monoglobus	0.43963818575299
